;Scopy version,v1.2.0,,,
;Exported on,Wednesday February 24/02/2021,,,
;Device,M2K,,,
;Nr of samples,1.00E+03,,,
;Sample rate,0.00E+00,,,
;Tool,Network Analyzer,,,
;Additional Information,Reference channel: 1,,,
Sample,Frequency(Hz),Magnitude(dB),Phase(°),Amplitude
108,2.11E+02,-0.315402,-15.4027,9.64E-01
109,2.12E+02,-0.338636,-15.2903,9.62E-01
110,2.14E+02,-0.371914,-15.4672,9.58E-01
111,2.15E+02,-0.380683,-15.7626,9.57E-01
112,2.17E+02,-0.355974,-15.6624,9.60E-01
113,2.18E+02,-0.364472,-15.5087,9.59E-01
114,2.20E+02,-0.388078,-15.5164,9.56E-01
115,2.21E+02,-0.359141,-15.9608,9.59E-01
116,2.23E+02,-0.368769,-15.795,9.58E-01
117,2.25E+02,-0.383232,-16.1493,9.57E-01
118,2.26E+02,-0.40914,-16.1633,9.54E-01
119,2.28E+02,-0.39564,-16.6417,9.55E-01
120,2.29E+02,-0.390434,-16.5168,9.56E-01
121,2.31E+02,-0.41936,-16.3674,9.53E-01
122,2.32E+02,-0.413721,-16.6723,9.53E-01
123,2.34E+02,-0.424794,-16.5879,9.52E-01
124,2.36E+02,-0.386093,-17.1169,9.57E-01
125,2.37E+02,-0.415407,-17.0712,9.53E-01
126,2.39E+02,-0.391814,-17.2705,9.56E-01
127,2.41E+02,-0.431897,-17.244,9.51E-01
128,2.42E+02,-0.46384,-17.1978,9.48E-01
129,2.44E+02,-0.487472,-17.1347,9.45E-01
130,2.46E+02,-0.461754,-17.678,9.48E-01
131,2.47E+02,-0.507617,-17.6401,9.43E-01
132,2.49E+02,-0.458052,-17.9124,9.49E-01
133,2.51E+02,-0.440505,-18.1685,9.51E-01
134,2.53E+02,-0.47738,-18.0631,9.47E-01
135,2.54E+02,-0.445132,-17.9104,9.50E-01
136,2.56E+02,-0.488232,-18.273,9.45E-01
137,2.58E+02,-0.484206,-18.6082,9.46E-01
138,2.60E+02,-0.499699,-18.4586,9.44E-01
139,2.61E+02,-0.473847,-18.5002,9.47E-01
140,2.63E+02,-0.466349,-18.3565,9.48E-01
141,2.65E+02,-0.549518,-18.8765,9.39E-01
142,2.67E+02,-0.553234,-19.3242,9.38E-01
143,2.69E+02,-0.558057,-18.9547,9.38E-01
144,2.71E+02,-0.575541,-19.5392,9.36E-01
145,2.73E+02,-0.558992,-19.4664,9.38E-01
146,2.74E+02,-0.518358,-19.8141,9.42E-01
147,2.76E+02,-0.585521,-19.6429,9.35E-01
148,2.78E+02,-0.602677,-19.307,9.33E-01
149,2.80E+02,-0.602225,-19.8576,9.33E-01
150,2.82E+02,-0.604243,-20.3648,9.33E-01
151,2.84E+02,-0.620896,-20.005,9.31E-01
152,2.86E+02,-0.518277,-20.1773,9.42E-01
153,2.88E+02,-0.634916,-20.4055,9.30E-01
154,2.90E+02,-0.688027,-20.5838,9.24E-01
155,2.92E+02,-0.659728,-20.5797,9.27E-01
156,2.94E+02,-0.625099,-20.6696,9.31E-01
157,2.96E+02,-0.634475,-21.1437,9.30E-01
158,2.98E+02,-0.639935,-20.8932,9.29E-01
159,3.00E+02,-0.597432,-20.9138,9.34E-01
160,3.02E+02,-0.644779,-21.1283,9.28E-01
161,3.04E+02,-0.612162,-21.0672,9.32E-01
162,3.07E+02,-0.692952,-21.4386,9.23E-01
163,3.09E+02,-0.629128,-21.2675,9.30E-01
164,3.11E+02,-0.707721,-21.5538,9.22E-01
165,3.13E+02,-0.773703,-21.7352,9.15E-01
166,3.15E+02,-0.73984,-21.802,9.18E-01
167,3.17E+02,-0.714379,-22.125,9.21E-01
168,3.20E+02,-0.658744,-22.3614,9.27E-01
169,3.22E+02,-0.731347,-22.301,9.19E-01
170,3.24E+02,-0.670896,-22.7839,9.26E-01
171,3.26E+02,-0.780121,-22.5847,9.14E-01
172,3.28E+02,-0.844158,-22.9818,9.07E-01
173,3.31E+02,-0.790188,-22.6874,9.13E-01
174,3.33E+02,-0.773326,-23.0739,9.15E-01
175,3.35E+02,-0.818917,-22.8616,9.10E-01
176,3.38E+02,-0.767472,-23.3989,9.15E-01
177,3.40E+02,-0.893206,-23.6263,9.02E-01
178,3.42E+02,-0.777823,-23.4553,9.14E-01
179,3.45E+02,-0.821437,-23.8157,9.10E-01
180,3.47E+02,-0.899616,-24.199,9.02E-01
181,3.50E+02,-0.830124,-23.9745,9.09E-01
182,3.52E+02,-0.915,-24.7528,9.00E-01
183,3.54E+02,-0.813799,-24.3172,9.11E-01
184,3.57E+02,-0.869728,-24.5523,9.05E-01
185,3.59E+02,-0.852007,-24.2145,9.07E-01
186,3.62E+02,-0.869438,-24.9936,9.05E-01
187,3.64E+02,-1.00506,-24.745,8.91E-01
188,3.67E+02,-0.881023,-24.7632,9.04E-01
189,3.69E+02,-0.915631,-25.3783,9.00E-01
190,3.72E+02,-0.903886,-26.0768,9.01E-01
191,3.75E+02,-0.906776,-25.7716,9.01E-01
192,3.77E+02,-0.964159,-25.791,8.95E-01
193,3.80E+02,-0.937308,-26.4656,8.98E-01
194,3.82E+02,-0.979636,-26.3396,8.93E-01
195,3.85E+02,-1.10644,-25.8309,8.80E-01
196,3.88E+02,-0.923492,-26.4359,8.99E-01
197,3.90E+02,-1.03551,-26.6997,8.88E-01
198,3.93E+02,-1.13512,-27.1539,8.77E-01
199,3.96E+02,-0.976131,-26.9617,8.94E-01
